respondent_id,region,area,sex,age,ethnicity,disability,education,employed,monthly_income_mdl
240,Chișinău,urban,Female,54,Moldovan,No,Vocational,1,8320
241,Centre,rural,Male,26,Moldovan,No,Secondary,1,7220
242,South,urban,Male,33,Moldovan,No,Tertiary,1,11590
243,Centre,rural,Male,41,Gagauz,Yes,Secondary,1,3290
244,North,rural,Female,23,Moldovan,No,Secondary,1,5940
245,Chișinău,urban,Male,56,Gagauz,No,Secondary,1,11330
246,Centre,urban,Male,53,Romanian,No,Tertiary,0,
247,Chișinău,urban,Male,18,Moldovan,No,Primary,0,
248,Centre,Urban,Female,44,Moldovan,No,Primary,1,5250
249,North,urban,Female,45,Moldovan,No,Secondary,1,6140
250,Centre,rural,Female,34,Moldovan,No,Tertiary,0,
251,South,urban,Male,37,Moldovan,No,Secondary,1,6220
252,UTA Găgăuzia,rural,Male,31,Moldovan,No,Vocational,1,6420
253,North,urban,Female,26,Russian,No,Secondary,1,7420
254,North,rural,Female,60,Moldovan,Yes,Tertiary,1,5360
255,UTA Găgăuzia,rural,Female,26,Moldovan,No,Secondary,1,5140
256,Chișinău,rural,Male,70,Moldovan,No,Primary,0,
257,South,rural,Female,70,Moldovan,Yes,Secondary,0,
258,North,rural,Female,39,Moldovan,No,Secondary,1,5040
259,North,urban,Male,37,Gagauz,Yes,Tertiary,1,12840
260,UTA Găgăuzia,urban,Female,29,Moldovan,No,Vocational,0,
261,South,urban,Male,43,Ukrainian,Yes,Tertiary,1,12010
262,South,urban,Female,26,Moldovan,No,Vocational,1,6150
263,Centre,rural,Female,59,Moldovan,No,Vocational,1,5320
264,Centre,rural,Female,58,Bulgarian,No,Vocational,1,7610
265,North,urban,Female,57,Russian,Yes,Tertiary,1,9490
266,North, rural,Female,39,Moldovan,Yes,Tertiary,1,10310
267,Chișinău,urban,Male,24,Moldovan,No,Vocational,1,13130
268,South,rural,Female,47,Russian,No,Secondary,1,5460
269,Chișinău,urban,Female,58,Moldovan,No,Tertiary,1,14210
270,Chișinău,urban,Female,35,Moldovan,No,Tertiary,1,22220
271,Chișinău,urban,Female,61,Russian,No,Vocational,1,12550
272,North,urban,Female,59,Moldovan,No,Secondary,1,3230
273,Centre,rural,Male,29,Moldovan,Yes,Secondary,1,6670
274,UTA Găgăuzia,Rural,Male,53,Moldovan,No,Vocational,1,7770
275,UTA Găgăuzia,rural,Female,63,Moldovan,No,Vocational,0,
276,South, urban,Female,44,Moldovan,No,Secondary,0,
277,UTA Găgăuzia,rural,Male,70,Moldovan,No,Secondary,1,6670
278,Chișinău,urban,Male,64,Gagauz,Yes,Vocational,0,
279,Centre,urban,Male,53,Moldovan,No,Secondary,0,
280,Centre,urban,Female,41,Roma,No,Secondary,0,
281,North,urban,Female,39,Moldovan,No,Vocational,0,
282,Centre,urban,Male,50,Moldovan,No,Primary,1,2810
283,Centre,rural,Male,18,Romanian,No,Tertiary,1,9350
284,North,urban,Male,38,Moldovan,No,Primary,1,9530
285,UTA Găgăuzia,urban,Female,20,Moldovan,No,Tertiary,0,
286,South,rural,Male,28,Moldovan,No,Primary,0,
287,Centre,urban,Female,53,Moldovan,No,Primary,0,
288,South,rural,Female,49,Gagauz,No,Vocational,1,4060
289,Chișinău,urban,Female,23,Moldovan,No,Secondary,1,8390
290,Centre,rural,Male,35,Moldovan,No,Tertiary,0,
291,Centre,urban,Male,52,Moldovan,No,Tertiary,1,11950
292,Chișinău, urban,Female,53,Moldovan,No,Secondary,1,11920
293,Chișinău,urban,Female,57,Moldovan,No,Vocational,1,15510
294,Chișinău,urban,Female,48,Moldovan,No,Vocational,1,14160
295,North,rural,Female,45,Roma,No,Primary,0,
296,South,urban,Male,38,Russian,No,Secondary,1,3940
297,Chișinău,urban,Female,36,Moldovan,No,Secondary,1,10160
298,South,urban,Female,29,Gagauz,No,Primary,0,
299,UTA Găgăuzia,rural,Male,53,Romanian,No,Primary,0,
300,Chișinău,urban,Female,40,Ukrainian,No,Secondary,1,5170
301,Chișinău,urban,Male,47,Russian,No,Tertiary,0,
302,Centre,rural,Male,18,Moldovan,Yes,Secondary,0,
303,South,Urban,Male,30,Moldovan,No,Secondary,1,8380
304,Centre,urban,Male,55,Russian,No,Vocational,1,6920
305,UTA Găgăuzia,rural,Male,19,Moldovan,No,Tertiary,1,11670
306,Chișinău,urban,Female,44,Moldovan,No,Secondary,0,
307,Chișinău, urban,Female,53,Moldovan,No,Secondary,1,9470
308,North,urban,Male,32,Ukrainian,No,Tertiary,1,10970
309,Centre,rural,Male,41,Moldovan,No,Tertiary,0,
310,UTA Găgăuzia,urban,Female,58,Moldovan,No,Secondary,0,
311,Centre,rural,Male,28,Moldovan,No,Tertiary,1,11530
312,UTA Găgăuzia,rural,Female,44,Russian,No,Secondary,0,
313,Chișinău,urban,Female,48,Moldovan,No,Secondary,0,
314,South,rural,Female,38,Moldovan,No,Secondary,1,4150
315,North,rural,Male,63,Moldovan,No,Primary,1,4370
316,North,urban,Female,43,Moldovan,No,Primary,0,
317,South,rural,Male,36,Russian,No,Vocational,1,7410
318,South,rural,Female,53,Gagauz,No,Secondary,0,
319,UTA Găgăuzia,rural,Male,41,Moldovan,No,Vocational,1,6310
320,North,rural,Female,26,Moldovan,No,Secondary,0,
321,Centre,urban,Male,39,Ukrainian,No,Primary,0,
322,South,urban,Male,36,Moldovan,No,Vocational,1,5830
323,Centre,rural,Female,56,Romanian,No,Secondary,1,7090
324,Chișinău,rural,Male,43,Moldovan,No,Secondary,1,12260
325,Chișinău,urban,Male,34,Moldovan,No,Secondary,0,
326,Chișinău,urban,Female,55,Moldovan,No,Vocational,1,22970
327,Chișinău,urban,Female,27,Moldovan,No,Secondary,1,10570
328,Centre,rural,Female,33,Ukrainian,No,Secondary,0,
329,Centre,Rural,Male,33,Moldovan,No,Vocational,1,7010
330,Chișinău,urban,Male,30,Moldovan,No,Vocational,1,8900
331,Chișinău,urban,Female,34,Moldovan,No,Secondary,1,11710
332,Centre,rural,Female,51,Moldovan,No,Secondary,0,
333,Centre,urban,Male,29,Roma,No,Secondary,1,4310
334,UTA Găgăuzia,rural,Male,43,Moldovan,Yes,Tertiary,0,
335,Centre,urban,Female,33,Moldovan,No,Secondary,1,9120
336,Chișinău,urban,Male,41,Moldovan,Yes,Vocational,0,
337,Centre,urban,Female,26,Moldovan,No,Secondary,0,
338,Centre,urban,Female,26,Moldovan,No,Primary,1,3940
339,Chișinău,urban,Female,54,Ukrainian,No,Tertiary,1,17510
340,Chișinău,urban,Female,30,Moldovan,No,Primary,0,
341,South,urban,Female,55,Moldovan,No,Vocational,1,4190
342,Chișinău,urban,Male,42,Gagauz,No,Secondary,1,8680
343,Centre,urban,Male,47,Moldovan,Yes,Vocational,1,11060
344,Centre,rural,Male,32,Ukrainian,No,Secondary,1,4370
345,Centre,rural,Male,58,Ukrainian,No,Vocational,0,
346,Chișinău,urban,Male,64,Moldovan,No,Vocational,0,
347,Centre,urban,Female,52,Bulgarian,No,Primary,1,3760
348,Centre,urban,Male,49,Moldovan,No,Secondary,1,7340
349,South,rural,Female,19,Roma,No,Vocational,1,4370
350,Centre,rural,Male,43,Moldovan,No,Vocational,1,7280
351,South,rural,Male,63,Moldovan,No,Tertiary,1,13660
352,Chișinău,urban,Female,61,Moldovan,No,Secondary,0,
353,North,rural,Female,70,Moldovan,No,Primary,0,
354,Centre,urban,Male,35,Moldovan,No,Vocational,1,
355,Centre,urban,Male,55,Moldovan,No,Secondary,0,
356,South,urban,Male,24,Moldovan,Yes,Primary,0,
357,North,rural,Male,22,Bulgarian,No,Vocational,0,
358,North,urban,Female,48,Moldovan,No,Secondary,0,
359,North,urban,Female,35,Moldovan,No,Secondary,1,7720
360,North,rural,Female,29,Moldovan,No,Vocational,1,5370
361,Chișinău,rural,Male,44,Ukrainian,No,Primary,1,7710
362,Chișinău,urban,Female,54,Moldovan,No,Vocational,0,
363,Chișinău, rural,Male,24,Moldovan,No,Secondary,1,8590
364,South,rural,Male,29,Moldovan,No,Vocational,1,8460
365,Chișinău,rural,Male,60,Moldovan,No,Vocational,1,9940
366,South,rural,Female,42,Gagauz,No,Secondary,1,4440
367,Chișinău,urban,Male,46,Moldovan,Yes,Secondary,0,
368,Centre,urban,Female,51,Moldovan,No,Secondary,0,
369,UTA Găgăuzia,urban,Male,51,Moldovan,Yes,Primary,1,3270
370,North,urban,Male,69,Moldovan,No,Vocational,1,8910
371,North,rural,Male,40,Moldovan,No,Secondary,0,
372,Chișinău,urban,Female,31,Moldovan,No,Secondary,1,9350
373,UTA Găgăuzia,rural,Female,32,Russian,No,Vocational,1,3800
374,Centre,rural,Male,42,Moldovan,No,Tertiary,1,
375,Chișinău,urban,Female,32,Moldovan,Yes,Primary,0,
376,Chișinău,urban,Female,22,Moldovan,No,Vocational,1,14780
377,Centre,urban,Male,36,Ukrainian,No,Secondary,1,8180
378,Centre,rural,Female,56,Moldovan,No,Vocational,1,4750
379,North,rural,Male,58,Moldovan,No,Secondary,0,
380,North,urban,Female,33,Moldovan,No,Secondary,0,
381,Chișinău,rural,Female,63,Moldovan,No,Tertiary,0,
382,Centre,rural,Female,25,Moldovan,No,Primary,1,4620
383,Centre,urban,Male,54,Moldovan,No,Tertiary,1,15830
384,North,rural,Female,65,Moldovan,No,Vocational,1,6730
385,North,urban,Female,18,Moldovan,No,Vocational,0,
386,South,rural,Female,18,Moldovan,No,Secondary,1,4220
387,North,urban,Male,60,Moldovan,No,Vocational,1,7410
388,Centre,urban,Female,35,Russian,No,Primary,1,4590
389,North,rural,Male,70,Bulgarian,No,Secondary,0,
390,Centre,rural,Male,35,Gagauz,No,Secondary,1,7770
391,UTA Găgăuzia,rural,Male,57,Moldovan,No,Primary,0,
392,Chișinău,urban,Male,50,Russian,No,Tertiary,1,18620
393,Chișinău,urban,Female,38,Moldovan,No,Secondary,0,
394,South,rural,Male,52,Moldovan,No,Vocational,1,7570
395,Chișinău,urban,Male,53,Moldovan,No,Vocational,1,18610
396,Centre, rural,Female,41,Moldovan,No,Secondary,1,3820
397,South,rural,Male,43,Moldovan,No,Tertiary,1,9150
398,Chișinău,urban,Male,28,Gagauz,No,Primary,1,6070
399,Chișinău,urban,Male,34,Moldovan,No,Secondary,0,
400,North,rural,Male,50,Moldovan,No,Secondary,0,
401,UTA Găgăuzia,urban,Female,56,Ukrainian,No,Vocational,0,
402,Centre,urban,Female,41,Russian,No,Vocational,0,
403,Centre,urban,Female,55,Moldovan,Yes,Vocational,0,
404,Centre,urban,Female,47,Moldovan,No,Secondary,0,
405,UTA Găgăuzia,urban,Male,43,Moldovan,No,Secondary,0,
406,Centre,urban,Female,42,Moldovan,No,Secondary,1,5520
407,North,RURAL,Female,19,Moldovan,No,Vocational,1,4840
408,Chișinău,urban,Male,52,Russian,No,Secondary,1,13220
409,UTA Găgăuzia,rural,Male,61,Moldovan,No,Secondary,1,6240
410,North,urban,Male,38,Moldovan,No,Secondary,1,9420
411,South,Urban,Female,52,Moldovan,No,Vocational,1,4750
412,North,rural,Male,41,Romanian,No,Primary,0,
413,North,urban,Male,25,Moldovan,No,Secondary,1,8350
414,North,urban,Female,33,Roma,No,Tertiary,0,
415,North,Rural,Female,42,Moldovan,Yes,Tertiary,1,5540
416,Chișinău,urban,Male,23,Moldovan,No,Tertiary,1,26570
417,Chișinău,urban,Male,55,Moldovan,No,Secondary,1,12470
418,South,urban,Male,32,Moldovan,No,Tertiary,1,8470
419,Chișinău,urban,Female,54,Moldovan,Yes,Secondary,0,
420,Chișinău,rural,Male,24,Moldovan,No,Secondary,1,7120
421,North,rural,Female,52,Moldovan,No,Secondary,1,3110
422,South,urban,Male,23,Moldovan,No,Secondary,1,6970
423,North,urban,Female,30,Ukrainian,No,Tertiary,1,10910
424,Chișinău,urban,Female,34,Moldovan,No,Secondary,1,6430
425,Centre,rural,Female,18,Moldovan,No,Vocational,1,5110
426,Chișinău,rural,Female,43,Moldovan,No,Vocational,1,10660
427,North,urban,Female,29,Russian,No,Vocational,0,
428,South,urban,Male,52,Gagauz,No,Secondary,1,3920
429,North,urban,Male,23,Moldovan,No,Vocational,0,
430,South,urban,Male,36,Roma,No,Secondary,0,
431,North,rural,Female,46,Moldovan,No,Primary,1,3920
432,North,rural,Female,39,Moldovan,No,Vocational,1,6370
433,North,urban,Female,18,Moldovan,No,Primary,1,3660
434,Centre,rural,Male,43,Gagauz,No,Tertiary,0,
435,South,urban,Male,52,Romanian,Yes,Tertiary,0,
436,UTA Găgăuzia,rural,Male,27,Bulgarian,No,Secondary,0,
437,Chișinău,urban,Female,39,Moldovan,No,Vocational,0,
